SMILES,Fitness Values
C#CCCCCOCOC(=C)COCCOCCC#N,"(1.0, 1.0, 1.0, 0.3935295000000001, 0.3949028228571429, 0.21140801696641418)"
C#CCCCOCOCCC(=C)OCCCOCC#N,"(1.0, 1.0, 1.0, 0.3935295000000001, 0.3949028228571429, 0.21140801696641418)"
N#CCCCCCCC(=N)COCCCONOC#N,"(1.0, 1.0, 1.0, 0.3927732500000001, 0.4410033885714287, 0.2185488517586987)"
C#CNOCCCCCCC(=CCl)NCOCCOC#N,"(1.0, 1.0, 1.0, 0.3922595, 0.40718241142857137, 0.1277621530491038)"
C#CCCCCCONC(=C)OCOCOCCC#C,"(1.0, 1.0, 1.0, 0.39151250000000004, 0.39289082285714294, 0.17377442043530433)"
C#CCCCCCOC(=C)CCONOCOCC#C,"(1.0, 1.0, 1.0, 0.39151250000000004, 0.39289082285714294, 0.17377442043530433)"
C=C(CCOCCOCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.39078900000000005, 0.42609817142857137, 0.27551949447282476)"
C=C(COCCOCCC#N)OCOCCCCC#N,"(1.0, 1.0, 1.0, 0.39078900000000005, 0.42609817142857137, 0.27551949447282476)"
C=C(CCOCOCCCC#N)OCCCOCC#N,"(1.0, 1.0, 1.0, 0.39078900000000005, 0.42609817142857137, 0.27551949447282476)"
[C]OCC(=C)OCCCOC=C,"(1.0, 1.0, 1.0, 0.39072724999999997, 0.45375328571428586, 0.40801764146717373)"
[C]OCC(=C)CCOCOC=C,"(1.0, 1.0, 1.0, 0.39072724999999997, 0.45375328571428586, 0.23906306482606748)"
C#COCCOCCC(=O)CCCCCCOCC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.3599292110084391)"
C#COCCCCOCCC(=O)CCOCCCC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.3599292110084391)"
C#COCCCOCCC(=O)CCCOCCCC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.3599292110084391)"
C#CCOCCCCCCC(=O)CCOCCOC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.276812913943642)"
C#CCCCOCCC(=O)CCOCCCCOC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.276812913943642)"
C#CCCOCOCCC(=O)COCCCCCC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.276812913943642)"
C#CCCCCOCCC(=O)COCOCCCC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.276812913943642)"
C#CCOCOCCC(=O)CCOCCCCCC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.276812913943642)"
C#CCCCCCOCCC(=O)CCOCOCC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.276812913943642)"
C#CCCOCOCCC(=O)CCCCCOCC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.276812913943642)"
C#CCCCOCCC(=O)CCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.276812913943642)"
C#CCCCCCOCC(=O)CCOCCCOC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.276812913943642)"
C#CCCCOCOCCC(=O)CCOCCCC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.276812913943642)"
C#CCOCCCCCC(=O)COCCCCOC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.276812913943642)"
C#CCCCOCOCC(=O)CCOCCCCC#N,"(1.0, 1.0, 1.0, 0.3890045, 0.41972282285714296, 0.276812913943642)"
C=C(NCCOCCC#N)OCOCCCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285715, 0.2977287148529745)"
C=C(NCOCCCCCC#N)OCCOCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285715, 0.2977287148529745)"
C=C(NCCOCOCCC#N)OCCCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285715, 0.2977287148529745)"
C=C(NCCCCOCCC#N)OCCCCOC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285715, 0.2977287148529745)"
C=C(CCONCCC#N)COCCCCCOC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285715, 0.22682191458070744)"
C=C(CCOCCCCCC#N)COCNCOC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285715, 0.22682191458070744)"
C=C(CCOCCCCCC#N)OCOCNCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285715, 0.22682191458070744)"
C=C(CCCCCNOCC#N)CCOCCOC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285715, 0.22682191458070744)"
C=C(CCCCOCCCC#N)OCCONCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285715, 0.22682191458070744)"
C=C(CCCOCNCC#N)OCOCCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285715, 0.22682191458070744)"
C=C(CCOCOCCNC#N)OCCCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285715, 0.17230254919974036)"
C=C(NCCOCCCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.2977287148529745)"
C=C(CCCOCCC#N)OCOCNCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.2977287148529745)"
C=C(NCCCOCCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.2977287148529745)"
C=C(NCOCCCC#N)OCCCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.2977287148529745)"
C=C(CCCCNCOCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.2977287148529745)"
C=C(COCCCCC#N)OCNCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.2977287148529745)"
C=C(CCCNCCC#N)OCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.2977287148529745)"
C=C(OCCCCNCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.2977287148529745)"
C=C(NCCCCCOCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.2977287148529745)"
C=C(CNCCCCC#N)OCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.2977287148529745)"
C=C(NCCCCOCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.2977287148529745)"
C=C(CCCCNCC#N)OCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.22682191458070744)"
C=C(CCCCOCCOC#N)CCONCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.22682191458070744)"
C=C(OCCCCCC#N)OCCCOCCNC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.22682191458070744)"
C=C(CCCCOCNCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.22682191458070744)"
C=C(COCCCCCC#N)OCCCOCNC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.17230254919974036)"
C=C(CCCCOCCNC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.17230254919974036)"
C=C(CCOCCCCNC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.17230254919974036)"
C=C(CCCCOCOCC#N)OCCCCNC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.17230254919974036)"
C=C(COCCCCCC#N)OCOCCCNC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.17230254919974036)"
C=C(CCCOCCCC#N)OCOCCCNC#N,"(1.0, 1.0, 1.0, 0.38880400000000004, 0.4365956114285714, 0.17230254919974036)"
C#CCCCOCONOC(=C)COCCCCC#N,"(1.0, 1.0, 1.0, 0.3887720000000001, 0.4240861714285715, 0.1727595244732403)"
C#CONCOCOC(=C)CCCOCCCCC#N,"(1.0, 1.0, 1.0, 0.3887720000000001, 0.4240861714285715, 0.1727595244732403)"
C#CCCCOCONOC(=C)CCCOCCC#N,"(1.0, 1.0, 1.0, 0.3887720000000001, 0.4240861714285715, 0.1727595244732403)"
C#CCCCOCOCCC(=C)ONOCCCC#N,"(1.0, 1.0, 1.0, 0.3887720000000001, 0.4240861714285715, 0.1727595244732403)"
C#CCCCOCOCOC(=C)NOCCCCC#N,"(1.0, 1.0, 1.0, 0.3887720000000001, 0.4240861714285715, 0.1727595244732403)"
C#CCCOCOCOC(=C)NOCCCCCC#N,"(1.0, 1.0, 1.0, 0.388772, 0.4240861714285715, 0.1727595244732403)"
C#CCCCCCOC(=C)CCONOCOCC#N,"(1.0, 1.0, 1.0, 0.388772, 0.4240861714285715, 0.1727595244732403)"
C#CCCCONOCCC(=C)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.388772, 0.4240861714285715, 0.1727595244732403)"
C#CCCCCONOC(=C)COCOCCCC#N,"(1.0, 1.0, 1.0, 0.388772, 0.4240861714285715, 0.1727595244732403)"
C#COCNOCCCCC(=C)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.388772, 0.4240861714285715, 0.1727595244732403)"
C#CCCCONOC(=C)CCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.388772, 0.4240861714285715, 0.1727595244732403)"
C#CCCCOCCC(=C)OCONOCCCC#N,"(1.0, 1.0, 1.0, 0.388772, 0.4240861714285715, 0.1727595244732403)"
C#COCCCCCC(=C)CCOCOCONC#N,"(1.0, 1.0, 1.0, 0.388772, 0.4240861714285715, 0.09994632735645563)"
C#COCCCCCCOC(=O)CCCCCOC#N,"(1.0, 1.0, 1.0, 0.3876345000000001, 0.35020282285714277, 0.22460714168517595)"
C#CCCCOCOCOC(=O)CCCCCCC#N,"(1.0, 1.0, 1.0, 0.3876345000000001, 0.35020282285714277, 0.22460714168517595)"
C#CCCCCCCC(=O)COCCCONOC#C,"(1.0, 1.0, 1.0, 0.38698750000000004, 0.41771082285714295, 0.29962616091424843)"
C#CCCOCOCCC(=N)CCCCCONC#N,"(1.0, 1.0, 1.0, 0.38682375, 0.4445680400000001, 0.09663555147981893)"
C#CCCNONOC(=C)CCCCOCCCC#N,"(1.0, 1.0, 1.0, 0.386787, 0.43458361142857155, 0.2193541061075111)"
C#COCCCCNC(=C)CCCCCONOC#N,"(1.0, 1.0, 1.0, 0.386787, 0.43458361142857155, 0.2193541061075111)"
C#CCCCONOCNC(=C)OCCCCCC#N,"(1.0, 1.0, 1.0, 0.386787, 0.43458361142857155, 0.16662971798655832)"
C#COCNOCCC(=C)CCCCCCONC#N,"(1.0, 1.0, 1.0, 0.386787, 0.43458361142857155, 0.09640005893728937)"
C#CCCCCCONOC(=C)ONOCCCC#C,"(1.0, 1.0, 1.0, 0.38675499999999996, 0.4220741714285714, 0.2197664278997999)"
N#CCCOCOCCC(=O)CCCCCOCC#N,"(1.0, 1.0, 1.0, 0.38626400000000005, 0.4509181714285715, 0.3569419965008772)"
N#CCCCOCCC(=O)CCOCCCCOC#N,"(1.0, 1.0, 1.0, 0.38626400000000005, 0.45091817142857143, 0.3569419965008772)"
N#CCOCCCCCCC(=O)CCOCCOC#N,"(1.0, 1.0, 1.0, 0.38626400000000005, 0.45091817142857143, 0.3569419965008772)"
N#CCCCCOCCC(=O)COCOCCCC#N,"(1.0, 1.0, 1.0, 0.38626400000000005, 0.45091817142857143, 0.3569419965008772)"
N#CCCCCCCC(=O)COCCOCOCC#N,"(1.0, 1.0, 1.0, 0.38626400000000005, 0.45091817142857143, 0.3569419965008772)"
N#CCCCCCOCCC(=O)CCOCOCC#N,"(1.0, 1.0, 1.0, 0.38626400000000005, 0.45091817142857143, 0.3569419965008772)"
N#CCCOCCCCC(=O)COCCCCOC#N,"(1.0, 1.0, 1.0, 0.38626400000000005, 0.45091817142857143, 0.3569419965008772)"
N#CCOCCCCCC(=O)COCCCCOC#N,"(1.0, 1.0, 1.0, 0.38626400000000005, 0.45091817142857143, 0.3569419965008772)"
N#CCCCCCOCC(=O)CCOCOCCC#N,"(1.0, 1.0, 1.0, 0.38626400000000005, 0.45091817142857143, 0.3569419965008772)"
C=C(OCCCCCC#N)ONOCCOCCC#N,"(1.0, 1.0, 1.0, 0.3860315000000001, 0.4552815200000001, 0.29540148225524093)"
C=C(CCONOCCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.3860315000000001, 0.4552815200000001, 0.22504893358438927)"
C=C(CCCCOCOCC#N)ONOCCCC#N,"(1.0, 1.0, 1.0, 0.3860315000000001, 0.4552815200000001, 0.22504893358438927)"
C=C(COCOCCCC#N)ONOCCCCC#N,"(1.0, 1.0, 1.0, 0.3860315000000001, 0.4552815200000001, 0.22504893358438927)"
C=C(CCOCOCCCC#N)ONOCCCC#N,"(1.0, 1.0, 1.0, 0.3860315000000001, 0.4552815200000001, 0.22504893358438927)"
C=C(CCCOCOCCC#N)ONOCCCC#N,"(1.0, 1.0, 1.0, 0.3860315000000001, 0.4552815200000001, 0.22504893358438927)"
C=C(CCCOCCC#N)ONOCOCCCC#N,"(1.0, 1.0, 1.0, 0.3860315000000001, 0.4552815200000001, 0.22504893358438927)"
C=C(CCCOCOC#N)CCONOCCCC#N,"(1.0, 1.0, 1.0, 0.3860315000000001, 0.4552815200000001, 0.17095572543311705)"
C=C(NOCCCCCCC#N)OCOCCOC#N,"(1.0, 1.0, 1.0, 0.3860315000000001, 0.4552815200000001, 0.17095572543311705)"
C=C(CCCCONCOC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.3860315000000001, 0.4552815200000001, 0.17095572543311705)"
C=C(CCCOCCCCC#N)OCOCNOC#N,"(1.0, 1.0, 1.0, 0.3860315000000001, 0.4552815200000001, 0.17095572543311705)"
C#CNOCCCCCCC(=O)CCOCCOC#CF,"(1.0, 1.0, 1.0, 0.3857275, 0.4198724228571429, 0.22980477342204617)"
[C]OCC(=C)OCCCOC=NF,"(1.0, 1.0, 1.0, 0.38495975000000004, 0.4843810914285715, 0.24999150789626223)"
N#COCCCCCCOC(=O)CCCCCOC#N,"(1.0, 1.0, 1.0, 0.38489400000000007, 0.38139817142857135, 0.29273774922612733)"
C#CCCOCCCOC(=C)COCCOCCC#N,"(1.0, 1.0, 1.0, 0.3848395, 0.4296628228571428, 0.2763337241028967)"
C#CCCCOCOCC(=C)CCOCCOCC#N,"(1.0, 1.0, 1.0, 0.3848395, 0.4296628228571428, 0.21052233539243326)"
C#CCCOCOCCC(=C)COCCCOCC#N,"(1.0, 1.0, 1.0, 0.3848395, 0.4296628228571428, 0.21052233539243326)"
C#CONOCCCOCC(=O)CCCCCCC#N,"(1.0, 1.0, 1.0, 0.384247, 0.4489061714285716, 0.29747006128112163)"
C#CCCCCCCC(=O)COCCCONOC#N,"(1.0, 1.0, 1.0, 0.384247, 0.4489061714285715, 0.22662486170856586)"
C#CCCCCCCC(=O)CCOCOCONC#N,"(1.0, 1.0, 1.0, 0.384247, 0.4489061714285715, 0.13076563985207515)"
C#CCCCONOC(=C)ONOCCCCCC#N,"(1.0, 1.0, 1.0, 0.38401450000000004, 0.45326952000000004, 0.21770650649861215)"
C#CCCCCCONOC(=C)ONOCCCC#N,"(1.0, 1.0, 1.0, 0.38401450000000004, 0.45326952000000004, 0.21770650649861215)"
C#CNCCOCOCNC(=CCl)OCCCCCC#N,"(1.0, 1.0, 1.0, 0.3835695, 0.4419424114285715, 0.16744052722526898)"
C#CCCCOCOCCC(=N)COCOCCC#C,"(1.0, 1.0, 1.0, 0.38285925, 0.4376352514285715, 0.22823963944057923)"
C#CCCCOCOCNC(=C)OCOCCCC#C,"(1.0, 1.0, 1.0, 0.38282250000000007, 0.42765082285714295, 0.22768441056481262)"
C#CCCCONCCCC(=C)OCCOCOC#C,"(1.0, 1.0, 1.0, 0.38282250000000007, 0.42765082285714295, 0.17295773393799896)"
C#CCCCOCOC(=C)OCOCCCCNC#C,"(1.0, 1.0, 1.0, 0.38282250000000007, 0.42765082285714295, 0.17295773393799896)"
C#CCCCCOCOC(=C)COCNOCCC#C,"(1.0, 1.0, 1.0, 0.38282250000000007, 0.42765082285714295, 0.17295773393799896)"
[C]CCC(=C)OCCOC=C,"(1.0, 1.0, 1.0, 0.3823772500000001, 0.4068016971428572, 0.41137851822817045)"
[C]OCC(=C)CCCOC=C,"(1.0, 1.0, 1.0, 0.3823772500000001, 0.4068016971428572, 0.3163813407794999)"
C=C(CCOCOCCC#N)COCCCOCC#N,"(1.0, 1.0, 1.0, 0.38209899999999997, 0.46085817142857144, 0.27417261014849653)"
C=C(CCOCCOCC#N)COCOCCCC#N,"(1.0, 1.0, 1.0, 0.38209899999999997, 0.46085817142857144, 0.27417261014849653)"
N#CCCCCCCCC(=O)COCONOCC#N,"(1.0, 1.0, 1.0, 0.38150649999999997, 0.48010152, 0.2940064238567066)"
N#CCCCCCCC(=O)COCCCONOC#N,"(1.0, 1.0, 1.0, 0.38150649999999997, 0.48010152, 0.2940064238567066)"
